xbins=30
Q2bins=24
Ebins=1
id	x	Q2	E	Central_Value	Replica_1	Replica_2	Replica_3	Replica_4	Replica_5	Replica_6	Replica_7	Replica_8
688	28	16	0	5.590002e-02	4.383000e-05	3.308395e-03	4.544250e-04	8.995750e-04	3.655365e-03	3.521205e-03	1.934495e-03	2.888050e-04
689	28	17	0	5.489535e-02	4.374000e-05	3.247895e-03	4.466750e-04	8.761000e-04	3.617540e-03	3.492660e-03	1.890470e-03	2.849600e-04
690	28	18	0	5.441617e-02	4.531500e-05	3.218490e-03	4.440750e-04	8.638150e-04	3.608235e-03	3.489990e-03	1.868440e-03	2.831500e-04
691	28	19	0	5.338338e-02	4.530000e-05	3.155405e-03	4.351800e-04	8.401350e-04	3.563320e-03	3.455980e-03	1.822525e-03	2.795300e-04
692	28	20	0	5.209094e-02	4.449000e-05	3.076675e-03	4.235050e-04	8.112750e-04	3.501065e-03	3.406540e-03	1.765615e-03	2.751500e-04
693	28	21	0	5.117241e-02	4.470000e-05	3.020940e-03	4.164550e-04	7.905000e-04	3.461280e-03	3.376720e-03	1.725190e-03	2.721800e-04
694	28	22	0	5.049772e-02	4.520500e-05	2.980360e-03	4.120950e-04	7.750700e-04	3.435070e-03	3.358550e-03	1.695390e-03	2.699700e-04
695	28	23	0	4.962712e-02	4.451000e-05	2.928135e-03	4.047950e-04	7.556150e-04	3.394980e-03	3.327965e-03	1.656800e-03	2.666750e-04
696	29	0	0	-1.606488e-03	3.685000e-07	9.599400e-05	1.292000e-05	3.023850e-05	9.081700e-05	8.395350e-05	6.059500e-05	7.590500e-06
697	29	1	0	1.998916e-03	4.585000e-07	1.194430e-04	1.607550e-05	3.762450e-05	1.130040e-04	1.044640e-04	7.539600e-05	9.444500e-06
698	29	2	0	4.107160e-02	9.470000e-06	2.454050e-03	3.301800e-04	7.722450e-04	2.324320e-03	2.149155e-03	1.548485e-03	1.942450e-04
699	29	3	0	8.868997e-02	2.086500e-05	5.298085e-03	7.119100e-04	1.660645e-03	5.039850e-03	4.664200e-03	3.337995e-03	4.210350e-04
700	29	4	0	8.148445e-02	2.092500e-05	4.863810e-03	6.511350e-04	1.503040e-03	4.699300e-03	4.363120e-03	3.047370e-03	3.919400e-04
701	29	5	0	6.281535e-02	2.052000e-05	3.744870e-03	5.018200e-04	1.131080e-03	3.713135e-03	3.467125e-03	2.322845e-03	3.079650e-04
702	29	6	0	7.121064e-02	2.840500e-05	4.243760e-03	5.752800e-04	1.280485e-03	4.228155e-03	3.953135e-03	2.626490e-03	3.483300e-04
703	29	7	0	7.180983e-02	3.410500e-05	4.271175e-03	5.811800e-04	1.279330e-03	4.306950e-03	4.031185e-03	2.635810e-03	3.516300e-04
704	29	8	0	6.391062e-02	3.626500e-05	3.790490e-03	5.159250e-04	1.114810e-03	3.908450e-03	3.669470e-03	2.323145e-03	3.143600e-04
705	29	9	0	6.293117e-02	3.793500e-05	3.732845e-03	5.107950e-04	1.085060e-03	3.887300e-03	3.665140e-03	2.272165e-03	3.080450e-04
706	29	10	0	6.550444e-02	3.841000e-05	3.892440e-03	5.358300e-04	1.125205e-03	4.058195e-03	3.840035e-03	2.356530e-03	3.193800e-04
707	29	11	0	6.384699e-02	3.715500e-05	3.794250e-03	5.228500e-04	1.084465e-03	3.994205e-03	3.788305e-03	2.282785e-03	3.152750e-04
708	29	12	0	6.004118e-02	3.695000e-05	3.563610e-03	4.904350e-04	1.003455e-03	3.809705e-03	3.620815e-03	2.129775e-03	3.028500e-04
709	29	13	0	5.882970e-02	4.153500e-05	3.487895e-03	4.808250e-04	9.738100e-04	3.766275e-03	3.590370e-03	2.075760e-03	2.993450e-04
710	29	14	0	5.914568e-02	4.722500e-05	3.504165e-03	4.841250e-04	9.743700e-04	3.803460e-03	3.638740e-03	2.079045e-03	3.008400e-04
711	29	15	0	5.789678e-02	4.698500e-05	3.428180e-03	4.725500e-04	9.440150e-04	3.750620e-03	3.601155e-03	2.020655e-03	2.962850e-04
712	29	16	0	5.590002e-02	4.383000e-05	3.308395e-03	4.544250e-04	8.995750e-04	3.655365e-03	3.521205e-03	1.934495e-03	2.888050e-04
713	29	17	0	5.489535e-02	4.374000e-05	3.247895e-03	4.466750e-04	8.761000e-04	3.617540e-03	3.492660e-03	1.890470e-03	2.849600e-04
714	29	18	0	5.441617e-02	4.531500e-05	3.218490e-03	4.440750e-04	8.638150e-04	3.608235e-03	3.489990e-03	1.868440e-03	2.831500e-04
715	29	19	0	5.338338e-02	4.530000e-05	3.155405e-03	4.351800e-04	8.401350e-04	3.563320e-03	3.455980e-03	1.822525e-03	2.795300e-04
716	29	20	0	5.209094e-02	4.449000e-05	3.076675e-03	4.235050e-04	8.112750e-04	3.501065e-03	3.406540e-03	1.765615e-03	2.751500e-04
717	29	21	0	5.117241e-02	4.470000e-05	3.020940e-03	4.164550e-04	7.905000e-04	3.461280e-03	3.376720e-03	1.725190e-03	2.721800e-04
718	29	22	0	5.049772e-02	4.520500e-05	2.980360e-03	4.120950e-04	7.750700e-04	3.435070e-03	3.358550e-03	1.695390e-03	2.699700e-04
719	29	23	0	4.962712e-02	4.451000e-05	2.928135e-03	4.047950e-04	7.556150e-04	3.394980e-03	3.327965e-03	1.656800e-03	2.666750e-04
